"t","x","y","z","a"
1.138458491E0,2.454829216E-2,-3.034353256E-3,-1.926708221E-2,3.135357084E-2
1.143450366E0,3.859019279E-2,-1.730859280E-2,-9.607315063E-3,4.337154444E-2
1.148442241E0,3.832319379E-2,-1.727238297E-2,-2.956390381E-5,4.203573801E-2
1.153434116E0,2.386489511E-2,-4.097893834E-2,2.846050262E-2,5.530648077E-2
1.158425991E0,2.852264047E-2,-4.554802179E-2,5.196666718E-2,7.475759363E-2
1.163417866E0,3.778615594E-2,-4.548642039E-2,6.103992462E-2,8.498635431E-2
1.168409741E0,2.328038216E-2,-2.178475261E-2,4.629611969E-2,5.621283072E-2
1.173401616E0,-1.484546065E-2,-1.258015633E-2,1.268291473E-2,2.322723318E-2
1.178393491E0,-9.969025850E-3,6.148725748E-3,3.091812134E-3,1.211394267E-2
1.183385366E0,-1.473414898E-2,5.779474974E-3,-6.416320801E-3,1.707825078E-2
1.188377241E0,-3.375703096E-2,-4.083693027E-3,-1.109504700E-2,3.576749580E-2
1.193369116E0,-2.418074012E-2,4.307031631E-4,-2.048397064E-2,3.169363897E-2
1.198360991E0,-2.407890558E-2,1.915508509E-2,-2.504920959E-2,3.967586017E-2
1.203352866E0,9.315133095E-3,-2.666413784E-4,-1.197996140E-1,1.201615176E-1
1.208344741E0,1.435559988E-2,1.392084360E-2,-1.425571442E-1,1.439528134E-1
1.213336616E0,-1.848134398E-2,2.804622054E-2,-1.792907715E-2,3.807364403E-2
1.218328491E0,-1.342195272E-2,-5.532920361E-3,7.718753815E-2,7.854093244E-2
1.223320366E0,-1.842132211E-2,-2.015006542E-2,8.606910706E-2,9.029541203E-2
1.228312241E0,1.925349236E-2,-2.530428767E-2,4.664421082E-3,3.213659544E-2
1.233304116E0,5.698138475E-2,-1.824706793E-3,-6.183433533E-2,8.410524828E-2
1.238295939E0,7.117033005E-2,2.727061510E-3,-7.082653046E-2,1.004442639E-1
1.243287762E0,4.761672020E-2,-1.164922118E-2,-3.227710724E-2,5.869299829E-2
1.248279585E0,1.481595635E-2,-6.809771061E-3,1.544380188E-2,2.245877470E-2
1.253271408E0,-2.731397748E-2,-1.155763865E-2,4.377841949E-2,5.287894090E-2
1.258263231E0,-4.550293088E-2,1.206514239E-2,4.814624786E-2,6.733606436E-2
1.263255054E0,-4.480770230E-2,2.599605918E-2,2.399730682E-2,5.709112027E-2
1.268246877E0,-4.437971115E-2,3.511640429E-2,9.554862976E-3,5.739351896E-2
1.273238699E0,-3.931403160E-2,3.002333641E-2,1.422786713E-2,5.147257535E-2
1.278230522E0,-2.964758873E-2,1.088520885E-2,1.411247253E-2,3.459232820E-2
1.283222345E0,-1.071900129E-2,-1.754060388E-2,3.299617767E-2,3.887566738E-2
1.288214168E0,1.749524474E-2,-7.791340351E-3,3.273296356E-2,3.792407516E-2
1.293205991E0,3.123053908E-2,-2.197194099E-2,1.348018646E-2,4.049479213E-2
1.298197814E0,3.076174855E-2,-2.846717834E-3,3.881454468E-3,3.113606695E-2
1.303189637E0,2.565231919E-2,1.873582602E-3,-2.938461304E-2,3.905134153E-2
1.308181460E0,2.538591623E-2,1.909941435E-3,-4.338550568E-2,5.030302896E-2
1.313173283E0,3.007644415E-2,1.154905558E-2,-5.253219604E-2,6.162470932E-2
1.318165106E0,3.973621130E-2,2.217769623E-3,-3.787326813E-2,5.493877892E-2
1.323156929E0,3.058126569E-2,2.461224794E-3,-9.101867676E-3,3.200180360E-2
1.328148752E0,2.155780792E-2,2.698481083E-3,4.339218140E-4,2.173037438E-2
1.333140574E0,1.260632277E-2,1.243489981E-2,-2.809715271E-2,3.321138506E-2
1.338132397E0,3.833323717E-3,3.200113773E-3,-1.841068268E-2,1.907585740E-2
1.343124220E0,-2.866101265E-2,3.591209650E-3,1.968765259E-2,3.495646002E-2
1.348116043E0,-4.209676385E-2,-5.571961403E-3,4.323196411E-2,6.059857260E-2
1.353107866E0,-4.613626003E-2,-1.470467448E-2,4.759693146E-2,6.789882050E-2
1.358099689E0,-2.185893059E-2,-2.386513352E-2,5.193614960E-2,6.119412618E-2
1.363091512E0,2.110779285E-2,-1.865383983E-2,3.249931335E-2,4.300825535E-2
1.368083335E0,4.477769136E-2,-2.303901315E-2,2.746963501E-2,5.736217062E-2
1.373075158E0,3.511315584E-2,-3.223803639E-2,2.722930908E-2,5.489681208E-2
1.378066981E0,1.139083505E-2,-2.242246270E-2,5.547904968E-2,6.091340501E-2
1.383058804E0,-7.489204407E-3,-1.263672113E-2,5.025672913E-2,5.235946644E-2
1.388050627E0,-1.682209969E-2,-1.727786660E-2,4.508590698E-2,5.112970487E-2
1.393042449E0,-1.198601723E-2,1.130515337E-2,6.726264954E-3,1.779645307E-2
1.398034272E0,-7.191866636E-3,1.116099954E-2,-7.571220398E-3,1.528444421E-2
1.403026095E0,-2.333730459E-3,6.321549416E-3,-4.074954987E-2,4.130295509E-2
1.408017918E0,-2.058267593E-3,1.107344031E-2,-9.265518188E-2,9.333723949E-2
1.413009741E0,-7.269918919E-2,2.538460493E-2,-1.061563492E-1,1.311438933E-1
1.418001564E0,-1.237103641E-1,3.958258033E-2,-1.195468903E-1,1.765290169E-1
1.422993387E0,-9.869071841E-2,5.382615328E-2,-1.138219833E-1,1.599767376E-1
1.427985210E0,-7.904538512E-2,5.375942588E-2,-1.081304550E-1,1.443275583E-1
1.432977033E0,-7.402190566E-2,3.486114740E-2,-8.823680878E-2,1.203340207E-1
1.437968856E0,-6.888765097E-2,4.946768284E-2,-6.851863861E-2,1.090291885E-1
1.442960679E0,1.700231433E-1,7.437944412E-3,-2.911968231E-1,3.372814582E-1
1.447952502E0,1.955567300E-1,6.133729219E-2,-2.936954498E-1,3.581364479E-1
1.452944324E0,1.276170909E-1,6.782513857E-2,-1.205606461E-1,1.882053153E-1
1.457936147E0,1.276017427E-1,3.178551793E-2,1.785373688E-2,1.327074972E-1
1.462927970E0,2.833417058E-2,1.979053020E-2,1.788425446E-1,1.821514371E-1
1.467919793E0,-5.601835251E-2,2.668559551E-2,3.290090561E-1,3.348091035E-1
1.472911616E0,-3.066280484E-2,2.862468362E-2,3.924684525E-1,3.947037703E-1
1.477903439E0,-5.393192172E-2,3.033444285E-2,6.406345367E-1,6.436159105E-1
1.482895262E0,-1.348885894E-2,4.560026526E-2,1.038808823E0,1.039896679E0
1.487887085E0,-1.011092216E-1,-1.827344894E-1,1.229669571E0,1.247277925E0
1.492878908E0,-1.391449720E-1,-4.155928195E-1,1.124702454E0,1.207076768E0
1.497870731E0,-3.648576140E-2,-5.865710974E-1,9.162731171E-1,1.088555597E0
1.502862554E0,2.159274817E-1,-6.818458438E-1,7.049369812E-1,1.004228350E0
